#integration threshold:    3.00 TeV
#Crab flux > int. thresh:  3.152e-12
#redshift:                 0.0000
#minimum-transit-coverage: 0.50
# MJD start  MJD stop  flux+/-err [cm^-2 s^-1]  flux+/-err [CU]  transits  index  cut-off   TS(bkg)
57051.4924  57051.7417    2.423e-12  1.751e-12    0.769  0.555    1.000    1.60       6.0    2.48
57052.4896  57052.7389    8.661e-13  1.575e-12    0.275  0.500    0.998    1.60       6.0    0.34
57053.4868  57053.7361    2.206e-12  1.823e-12    0.700  0.579    0.721    1.60       6.0    1.88
57054.4840  57054.7333    1.369e-12  1.544e-12    0.434  0.490    0.995    1.60       6.0    0.98
57055.4812  57055.7306    4.319e-12  1.811e-12    1.370  0.575    0.997    1.60       6.0    8.45
57056.4785  57056.7278    1.042e-12  1.864e-12    0.330  0.592    0.995    1.60       6.0    0.34
57057.4757  57057.7257   -3.284e-13  1.569e-12   -0.104  0.498    0.824    1.60       6.0    0.06
57058.4736  57058.7229    4.758e-12  2.035e-12    1.510  0.646    0.823    1.60       6.0    7.99
57059.4708  57059.7201   -1.561e-12  1.825e-12   -0.495  0.579    1.000    1.60       6.0    0.87
57060.4681  57060.7174    3.048e-12  1.709e-12    0.967  0.542    1.000    1.60       6.0    4.32
57061.4653  57061.7146    3.177e-12  1.990e-12    1.008  0.631    1.000    1.60       6.0    2.92
57062.4625  57062.6201    2.448e-12  1.826e-12    0.777  0.579    0.746    1.60       6.0    2.36
57063.4597  57063.7090    4.297e-12  1.850e-12    1.363  0.587    1.000    1.60       6.0    7.89
57064.4569  57064.7063    1.088e-11  2.134e-12    3.452  0.677    1.000    1.60       6.0   43.73
57065.4542  57065.7035    8.450e-12  2.052e-12    2.681  0.651    0.999    1.60       6.0   26.03
57066.4514  57066.7007    1.772e-12  1.665e-12    0.562  0.528    1.000    1.60       6.0    1.38
57067.4486  57067.6979    6.111e-12  1.887e-12    1.939  0.599    1.000    1.60       6.0   15.12
