flux+ [cm^-2 s^-1],-err [cm^-2 s^-1],Blanco
7.841e-13,7.841e-13, 
-1.188e-12,-1.188e-12, 
-1.011e-12,-1.011e-12, 
-1.658e-12,-1.658e-12, 
8.105e-13,8.105e-13, 
1.48e-12,1.48e-12, 
7.982e-14,7.982e-14, 
4.481e-12,4.481e-12, 
1.423e-12,1.423e-12, 
1.072e-12,1.072e-12, 
1.89e-12,1.89e-12, 
-1.225e-12,-1.225e-12, 
-1.732e-12,-1.732e-12, 
-4.483e-13,-4.483e-13, 
5.73e-12,5.73e-12, 
5.932e-13,5.932e-13, 
-1.491e-12,-1.491e-12, 
9.854e-13,9.854e-13, 
3.36e-12,3.36e-12, 
2.886e-12,2.886e-12, 
1.118e-12,1.118e-12, 
-1.295e-12,-1.295e-12, 
-2.185e-13,-2.185e-13, 
1.738e-13,1.738e-13, 
1.146e-12,1.146e-12, 
4.161e-13,4.161e-13, 
7.033e-12,7.033e-12, 
5.125e-12,5.125e-12, 
-1.262e-12,-1.262e-12, 
1.929e-12,1.929e-12, 
-5.516e-13,-5.516e-13, 
5.832e-13,5.832e-13, 
-1.566e-12,-1.566e-12, 
3.628e-13,3.628e-13, 
-8.114e-13,-8.114e-13, 
-1.436e-12,-1.436e-12, 
7.316e-13,7.316e-13, 
8.565e-13,8.565e-13, 
1.954e-12,1.954e-12, 
-1.107e-12,-1.107e-12, 
-4.27e-12,-4.27e-12, 
-9.325e-13,-9.325e-13, 
6.537e-13,6.537e-13, 
8.331e-13,8.331e-13, 
5.615e-12,5.615e-12, 
4.012e-12,4.012e-12, 
1.672e-11,1.672e-11, 
2.167e-12,2.167e-12, 
2.79e-12,2.79e-12, 
5.162e-13,5.162e-13, 
-1.985e-12,-1.985e-12, 
1.659e-13,1.659e-13, 
-2.077e-12,-2.077e-12, 
7.97e-13,7.97e-13, 
6.601e-13,6.601e-13, 
2.263e-12,2.263e-12, 
-4.325e-13,-4.325e-13, 
2.062e-12,2.062e-12, 
2.558e-13,2.558e-13, 
4.817e-13,4.817e-13, 
2.239e-12,2.239e-12, 
-1.184e-12,-1.184e-12, 
6.314e-13,6.314e-13, 
-3.071e-13,-3.071e-13, 
-9.499e-13,-9.499e-13, 
-5.188e-13,-5.188e-13, 
-8.821e-14,-8.821e-14, 
3.206e-12,3.206e-12, 
6.016e-12,6.016e-12, 
-1.765e-12,-1.765e-12, 
-1.47e-12,-1.47e-12, 
2.874e-12,2.874e-12, 
1.47e-12,1.47e-12, 
4.647e-13,4.647e-13, 
1.631e-12,1.631e-12, 
1.392e-12,1.392e-12, 
4.141e-13,4.141e-13, 
1.757e-12,1.757e-12, 
-1.109e-12,-1.109e-12, 
1.045e-12,1.045e-12, 
-1.806e-12,-1.806e-12, 
5.803e-13,5.803e-13, 
-1.98e-12,-1.98e-12, 
2.784e-13,2.784e-13, 
9.571e-13,9.571e-13, 
-8.107e-14,-8.107e-14, 
3.403e-13,3.403e-13, 
-1.98e-12,-1.98e-12, 
1.258e-12,1.258e-12, 
7.005e-13,7.005e-13, 
4.602e-13,4.602e-13, 
1.855e-12,1.855e-12, 
2.259e-12,2.259e-12, 
1.252e-12,1.252e-12, 
-1.882e-13,-1.882e-13, 
1.321e-12,1.321e-12, 
8.374e-13,8.374e-13, 
3.768e-12,3.768e-12, 
-1.328e-12,-1.328e-12, 
4.153e-13,4.153e-13, 
1.926e-13,1.926e-13, 
1.618e-12,1.618e-12, 
4.682e-13,4.682e-13, 
-8.636e-13,-8.636e-13, 
1.207e-12,1.207e-12, 
-6.742e-13,-6.742e-13, 
-5.082e-13,-5.082e-13, 
1.142e-12,1.142e-12, 
-5.432e-13,-5.432e-13, 
2.605e-12,2.605e-12, 
1.383e-12,1.383e-12, 
-1.248e-12,-1.248e-12, 
-4.705e-14,-4.705e-14, 
3.026e-12,3.026e-12, 
2.253e-12,2.253e-12, 
-2.353e-12,-2.353e-12, 
1.797e-12,1.797e-12, 
2.016e-12,2.016e-12, 
3.989e-13,3.989e-13, 
-2.909e-12,-2.909e-12, 
-9.354e-13,-9.354e-13, 
7.911e-13,7.911e-13, 
4.018e-12,4.018e-12, 
1.272e-12,1.272e-12, 
5.848e-12,5.848e-12, 
1.523e-12,1.523e-12, 
3.915e-12,3.915e-12, 
1.659e-13,1.659e-13, 
3.63e-13,3.63e-13, 
-4.551e-13,-4.551e-13, 
-1.432e-12,-1.432e-12, 
-2.308e-12,-2.308e-12, 
1.053e-12,1.053e-12, 
-2.671e-13,-2.671e-13, 
-4.819e-13,-4.819e-13, 
2.771e-12,2.771e-12, 
1.225e-12,1.225e-12, 
4.09e-13,4.09e-13, 
2.655e-12,2.655e-12, 
3.661e-13,3.661e-13, 
2.329e-12,2.329e-12, 
-1.649e-13,-1.649e-13, 
2.31e-12,2.31e-12, 
-8.458e-13,-8.458e-13, 
1.694e-12,1.694e-12, 
5.832e-13,5.832e-13, 
1.414e-12,1.414e-12, 
2.001e-12,2.001e-12, 
2.884e-12,2.884e-12, 
4.852e-12,4.852e-12, 
2.497e-12,2.497e-12, 
-1.158e-12,-1.158e-12, 
-1.216e-13,-1.216e-13, 
6.262e-13,6.262e-13, 
-6.377e-13,-6.377e-13, 
3.688e-14,3.688e-14, 
-1.028e-12,-1.028e-12, 
-1.847e-12,-1.847e-12, 
1.452e-12,1.452e-12, 
-2.239e-12,-2.239e-12, 
2.802e-13,2.802e-13, 
1.405e-12,1.405e-12, 
-2.185e-13,-2.185e-13, 
-2.808e-13,-2.808e-13, 
4.159e-13,4.159e-13, 
2.181e-12,2.181e-12, 
3.298e-12,3.298e-12, 
1.749e-12,1.749e-12, 
-1.04e-12,-1.04e-12, 
5.338e-13,5.338e-13, 
1.717e-12,1.717e-12, 
-4.926e-13,-4.926e-13, 
-2.683e-12,-2.683e-12, 
2.359e-14,2.359e-14, 
-3.419e-13,-3.419e-13, 
-6.558e-13,-6.558e-13, 
-5.453e-13,-5.453e-13, 
7.464e-13,7.464e-13, 
2.009e-12,2.009e-12, 
-6.363e-13,-6.363e-13, 
-3.302e-13,-3.302e-13, 
2.735e-12,2.735e-12, 
1.689e-12,1.689e-12, 
-6.722e-13,-6.722e-13, 
5.84e-13,5.84e-13, 
-1.054e-12,-1.054e-12, 
2.948e-12,2.948e-12, 
1.882e-12,1.882e-12, 
3.321e-12,3.321e-12, 
2.202e-12,2.202e-12, 
3.134e-12,3.134e-12, 
1.56e-12,1.56e-12, 
3.204e-12,3.204e-12, 
1.571e-12,1.571e-12, 
4.182e-12,4.182e-12, 
6.73e-12,6.73e-12, 
3.348e-12,3.348e-12, 
5.289e-12,5.289e-12, 
4.196e-12,4.196e-12, 
4.571e-13,4.571e-13, 
3.509e-12,3.509e-12, 
1.341e-12,1.341e-12, 
1.051e-12,1.051e-12, 
2.581e-12,2.581e-12, 
-6.463e-13,-6.463e-13, 
-1.363e-12,-1.363e-12, 
-1.591e-13,-1.591e-13, 
1.517e-12,1.517e-12, 
5.756e-13,5.756e-13, 
-6.754e-13,-6.754e-13, 
-6.607e-13,-6.607e-13, 
-6.234e-13,-6.234e-13, 
7.89e-13,7.89e-13, 
