flux+ [cm^-2 s^-1],-err [cm^-2 s^-1],Blanco
-2.258e-12,-2.258e-12, 
3.677e-14,3.677e-14, 
5.959e-12,5.959e-12, 
1.511e-12,1.511e-12, 
3.443e-12,3.443e-12, 
7.842e-12,7.842e-12, 
-2.88e-12,-2.88e-12, 
1.126e-11,1.126e-11, 
1.038e-12,1.038e-12, 
2.888e-13,2.888e-13, 
4.664e-12,4.664e-12, 
-3.41e-12,-3.41e-12, 
-4.189e-12,-4.189e-12, 
3.5e-12,3.5e-12, 
6.145e-12,6.145e-12, 
2.621e-12,2.621e-12, 
-4.101e-12,-4.101e-12, 
2.633e-12,2.633e-12, 
-1.297e-12,-1.297e-12, 
4.714e-12,4.714e-12, 
3.568e-12,3.568e-12, 
8.885e-12,8.885e-12, 
8.288e-12,8.288e-12, 
8.192e-12,8.192e-12, 
5.76e-12,5.76e-12, 
9.463e-12,9.463e-12, 
3.133e-12,3.133e-12, 
3.434e-12,3.434e-12, 
6.364e-12,6.364e-12, 
3.324e-12,3.324e-12, 
4.543e-12,4.543e-12, 
1.104e-11,1.104e-11, 
2.028e-13,2.028e-13, 
-2.698e-12,-2.698e-12, 
3.094e-12,3.094e-12, 
3.921e-12,3.921e-12, 
3.855e-13,3.855e-13, 
7.788e-12,7.788e-12, 
2.684e-12,2.684e-12, 
6.44e-12,6.44e-12, 
1.18e-11,1.18e-11, 
3.907e-12,3.907e-12, 
5.132e-12,5.132e-12, 
7.757e-12,7.757e-12, 
1.945e-13,1.945e-13, 
2.664e-12,2.664e-12, 
8.083e-12,8.083e-12, 
2.056e-12,2.056e-12, 
6.175e-12,6.175e-12, 
5.593e-12,5.593e-12, 
4.131e-12,4.131e-12, 
2.235e-12,2.235e-12, 
1.26e-11,1.26e-11, 
6.605e-12,6.605e-12, 
6.938e-12,6.938e-12, 
5.104e-12,5.104e-12, 
3.97e-12,3.97e-12, 
3.124e-12,3.124e-12, 
-2.63e-12,-2.63e-12, 
-4.052e-12,-4.052e-12, 
-3.907e-12,-3.907e-12, 
2.372e-12,2.372e-12, 
4.803e-12,4.803e-12, 
-2.18e-12,-2.18e-12, 
5.718e-12,5.718e-12, 
-2.985e-12,-2.985e-12, 
2.15e-12,2.15e-12, 
-8.587e-13,-8.587e-13, 
2.442e-12,2.442e-12, 
1.891e-12,1.891e-12, 
3.832e-12,3.832e-12, 
-9.227e-14,-9.227e-14, 
1.99e-12,1.99e-12, 
1.506e-12,1.506e-12, 
3.778e-13,3.778e-13, 
-5.504e-13,-5.504e-13, 
-2.004e-12,-2.004e-12, 
-2.064e-12,-2.064e-12, 
-3.572e-13,-3.572e-13, 
-6.085e-12,-6.085e-12, 
-4.865e-12,-4.865e-12, 
4.689e-12,4.689e-12, 
6.606e-12,6.606e-12, 
2.665e-12,2.665e-12, 
4.853e-12,4.853e-12, 
-1.684e-12,-1.684e-12, 
2.394e-12,2.394e-12, 
7.051e-12,7.051e-12, 
2.244e-12,2.244e-12, 
3.767e-12,3.767e-12, 
-5.44e-13,-5.44e-13, 
-6.778e-13,-6.778e-13, 
1.923e-12,1.923e-12, 
8.983e-13,8.983e-13, 
-3.41e-12,-3.41e-12, 
-2.18e-12,-2.18e-12, 
-1.275e-12,-1.275e-12, 
-3.134e-12,-3.134e-12, 
1.049e-12,1.049e-12, 
3.87e-12,3.87e-12, 
3.688e-12,3.688e-12, 
1.897e-12,1.897e-12, 
3.685e-12,3.685e-12, 
3.427e-12,3.427e-12, 
4.216e-13,4.216e-13, 
-2.505e-12,-2.505e-12, 
5.234e-14,5.234e-14, 
8.394e-12,8.394e-12, 
5.65e-12,5.65e-12, 
1.164e-12,1.164e-12, 
6.832e-12,6.832e-12, 
1.427e-11,1.427e-11, 
8.601e-12,8.601e-12, 
5.524e-12,5.524e-12, 
-3.38e-12,-3.38e-12, 
4.914e-12,4.914e-12, 
4.159e-12,4.159e-12, 
3.276e-12,3.276e-12, 
3.529e-12,3.529e-12, 
3.67e-12,3.67e-12, 
7.861e-12,7.861e-12, 
1.144e-11,1.144e-11, 
1.374e-11,1.374e-11, 
1.511e-11,1.511e-11, 
1.893e-11,1.893e-11, 
3.403e-12,3.403e-12, 
8.388e-12,8.388e-12, 
4.532e-12,4.532e-12, 
4.99e-12,4.99e-12, 
5.625e-12,5.625e-12, 
7.484e-12,7.484e-12, 
6.383e-12,6.383e-12, 
3.378e-12,3.378e-12, 
6.861e-12,6.861e-12, 
5.095e-12,5.095e-12, 
6.781e-12,6.781e-12, 
7.85e-12,7.85e-12, 
2.477e-12,2.477e-12, 
7.7e-12,7.7e-12, 
3.702e-12,3.702e-12, 
8.063e-12,8.063e-12, 
4.296e-12,4.296e-12, 
3.662e-12,3.662e-12, 
3.85e-12,3.85e-12, 
5.868e-12,5.868e-12, 
2.434e-12,2.434e-12, 
3.353e-12,3.353e-12, 
8.299e-12,8.299e-12, 
5.561e-13,5.561e-13, 
1.826e-12,1.826e-12, 
-2.607e-12,-2.607e-12, 
1.267e-12,1.267e-12, 
2.738e-12,2.738e-12, 
-1.179e-12,-1.179e-12, 
5.494e-12,5.494e-12, 
1.806e-12,1.806e-12, 
-6.742e-13,-6.742e-13, 
6.702e-12,6.702e-12, 
-1.704e-12,-1.704e-12, 
3.836e-12,3.836e-12, 
6.684e-12,6.684e-12, 
1.003e-12,1.003e-12, 
5.402e-12,5.402e-12, 
1.103e-12,1.103e-12, 
-3.384e-13,-3.384e-13, 
8.12e-13,8.12e-13, 
-1.055e-12,-1.055e-12, 
1.249e-12,1.249e-12, 
3.653e-12,3.653e-12, 
5.746e-12,5.746e-12, 
-1.988e-13,-1.988e-13, 
2.331e-12,2.331e-12, 
2.038e-13,2.038e-13, 
3.299e-12,3.299e-12, 
2.824e-12,2.824e-12, 
3.363e-12,3.363e-12, 
5.794e-13,5.794e-13, 
1.079e-12,1.079e-12, 
-1.191e-12,-1.191e-12, 
-2.362e-12,-2.362e-12, 
2.389e-13,2.389e-13, 
7.851e-12,7.851e-12, 
3.776e-12,3.776e-12, 
7.705e-12,7.705e-12, 
3.054e-12,3.054e-12, 
3.265e-12,3.265e-12, 
2.198e-12,2.198e-12, 
1.445e-12,1.445e-12, 
-1.999e-12,-1.999e-12, 
-6.438e-12,-6.438e-12, 
1.069e-12,1.069e-12, 
3.895e-12,3.895e-12, 
-1.678e-12,-1.678e-12, 
4.364e-12,4.364e-12, 
8.977e-12,8.977e-12, 
3.845e-13,3.845e-13, 
-2.227e-12,-2.227e-12, 
1.765e-12,1.765e-12, 
2.619e-13,2.619e-13, 
6.738e-12,6.738e-12, 
5.439e-12,5.439e-12, 
-6.411e-13,-6.411e-13, 
2.317e-12,2.317e-12, 
-3.702e-12,-3.702e-12, 
3.02e-12,3.02e-12, 
-2.164e-12,-2.164e-12, 
5.045e-12,5.045e-12, 
3.572e-12,3.572e-12, 
3.454e-12,3.454e-12, 
1.984e-12,1.984e-12, 
2.048e-12,2.048e-12, 
2.291e-12,2.291e-12, 
-1.456e-12,-1.456e-12, 
7.298e-13,7.298e-13, 
9.975e-13,9.975e-13, 
1.871e-12,1.871e-12, 
-8.018e-13,-8.018e-13, 
1.435e-12,1.435e-12, 
1.459e-12,1.459e-12, 
4.745e-12,4.745e-12, 
-1.732e-12,-1.732e-12, 
-1.879e-12,-1.879e-12, 
4.523e-12,4.523e-12, 
-7.873e-14,-7.873e-14, 
-1.762e-12,-1.762e-12, 
4.948e-12,4.948e-12, 
-6.107e-13,-6.107e-13, 
8.851e-12,8.851e-12, 
