flux+ [cm^-2 s^-1],-err [cm^-2 s^-1],Blanco
1.777e-11,1.777e-11, 
1.872e-11,1.872e-11, 
1.736e-11,1.736e-11, 
9.988e-12,9.988e-12, 
2.044e-11,2.044e-11, 
1.955e-11,1.955e-11, 
2.156e-11,2.156e-11, 
2.675e-11,2.675e-11, 
2.947e-11,2.947e-11, 
1.633e-11,1.633e-11, 
2.788e-11,2.788e-11, 
1.631e-11,1.631e-11, 
2.652e-11,2.652e-11, 
2.307e-11,2.307e-11, 
1.238e-11,1.238e-11, 
1.266e-11,1.266e-11, 
1.95e-11,1.95e-11, 
2.215e-11,2.215e-11, 
1.619e-11,1.619e-11, 
1.947e-11,1.947e-11, 
1.378e-11,1.378e-11, 
1.512e-11,1.512e-11, 
1.317e-11,1.317e-11, 
2.353e-11,2.353e-11, 
2.724e-11,2.724e-11, 
2.386e-11,2.386e-11, 
2.448e-11,2.448e-11, 
2.578e-11,2.578e-11, 
1.536e-11,1.536e-11, 
1.434e-11,1.434e-11, 
1.375e-11,1.375e-11, 
9.086e-12,9.086e-12, 
1.323e-11,1.323e-11, 
1.379e-11,1.379e-11, 
1.491e-11,1.491e-11, 
1.46e-11,1.46e-11, 
2.061e-11,2.061e-11, 
1.88e-11,1.88e-11, 
1.751e-11,1.751e-11, 
1.072e-11,1.072e-11, 
1.945e-11,1.945e-11, 
8.454e-12,8.454e-12, 
1.725e-11,1.725e-11, 
2.825e-11,2.825e-11, 
1.359e-11,1.359e-11, 
2.164e-11,2.164e-11, 
2.258e-11,2.258e-11, 
1.563e-11,1.563e-11, 
2.264e-11,2.264e-11, 
2.793e-11,2.793e-11, 
1.942e-11,1.942e-11, 
2.084e-11,2.084e-11, 
1.959e-11,1.959e-11, 
3.615e-11,3.615e-11, 
1.629e-11,1.629e-11, 
2.673e-11,2.673e-11, 
2.401e-11,2.401e-11, 
2.461e-11,2.461e-11, 
2.829e-11,2.829e-11, 
2.591e-11,2.591e-11, 
1.888e-11,1.888e-11, 
2.031e-11,2.031e-11, 
8.828e-12,8.828e-12, 
1.886e-11,1.886e-11, 
2.564e-11,2.564e-11, 
1.517e-11,1.517e-11, 
2.234e-11,2.234e-11, 
1.266e-11,1.266e-11, 
1.604e-11,1.604e-11, 
1.834e-11,1.834e-11, 
1.906e-11,1.906e-11, 
2.444e-11,2.444e-11, 
2.077e-11,2.077e-11, 
1.62e-11,1.62e-11, 
1.388e-11,1.388e-11, 
2.075e-11,2.075e-11, 
2.353e-11,2.353e-11, 
2.446e-11,2.446e-11, 
1.897e-11,1.897e-11, 
1.16e-11,1.16e-11, 
1.683e-11,1.683e-11, 
2.285e-11,2.285e-11, 
2.458e-11,2.458e-11, 
1.176e-11,1.176e-11, 
1.608e-11,1.608e-11, 
2.367e-11,2.367e-11, 
3.021e-11,3.021e-11, 
1.401e-11,1.401e-11, 
2.759e-11,2.759e-11, 
1.444e-11,1.444e-11, 
2.486e-11,2.486e-11, 
1.66e-11,1.66e-11, 
2.769e-11,2.769e-11, 
2.82e-11,2.82e-11, 
1.839e-11,1.839e-11, 
2.61e-11,2.61e-11, 
2.431e-11,2.431e-11, 
1.433e-11,1.433e-11, 
2.336e-11,2.336e-11, 
1.853e-11,1.853e-11, 
1.612e-11,1.612e-11, 
2.002e-11,2.002e-11, 
1.65e-11,1.65e-11, 
1.655e-11,1.655e-11, 
1.707e-11,1.707e-11, 
1.569e-11,1.569e-11, 
2.653e-11,2.653e-11, 
1.721e-11,1.721e-11, 
1.977e-11,1.977e-11, 
1.566e-11,1.566e-11, 
2.077e-11,2.077e-11, 
1.509e-11,1.509e-11, 
1.913e-11,1.913e-11, 
2.042e-11,2.042e-11, 
2.174e-11,2.174e-11, 
1.553e-11,1.553e-11, 
1.248e-11,1.248e-11, 
1.314e-11,1.314e-11, 
3.294e-11,3.294e-11, 
1.91e-11,1.91e-11, 
2.356e-11,2.356e-11, 
1.266e-11,1.266e-11, 
1.539e-11,1.539e-11, 
1.782e-11,1.782e-11, 
8.994e-12,8.994e-12, 
2.022e-11,2.022e-11, 
1.109e-11,1.109e-11, 
2.642e-11,2.642e-11, 
1.496e-11,1.496e-11, 
1.903e-11,1.903e-11, 
2.094e-11,2.094e-11, 
1.988e-11,1.988e-11, 
1.81e-11,1.81e-11, 
1.09e-11,1.09e-11, 
1.415e-11,1.415e-11, 
1.356e-11,1.356e-11, 
2.048e-11,2.048e-11, 
1.406e-11,1.406e-11, 
1.883e-11,1.883e-11, 
2.415e-11,2.415e-11, 
2.412e-11,2.412e-11, 
2.304e-11,2.304e-11, 
1.623e-11,1.623e-11, 
2.572e-11,2.572e-11, 
1.298e-11,1.298e-11, 
2.575e-11,2.575e-11, 
1.569e-11,1.569e-11, 
1.986e-11,1.986e-11, 
1.593e-11,1.593e-11, 
1.548e-11,1.548e-11, 
1.674e-11,1.674e-11, 
1.448e-11,1.448e-11, 
1.696e-11,1.696e-11, 
2.031e-11,2.031e-11, 
1.961e-11,1.961e-11, 
1.57e-11,1.57e-11, 
1.737e-11,1.737e-11, 
1.866e-11,1.866e-11, 
2.01e-11,2.01e-11, 
1.625e-11,1.625e-11, 
1.653e-11,1.653e-11, 
2.139e-11,2.139e-11, 
2.827e-11,2.827e-11, 
1.842e-11,1.842e-11, 
2.786e-11,2.786e-11, 
2.037e-11,2.037e-11, 
1.934e-11,1.934e-11, 
9.129e-12,9.129e-12, 
1.404e-11,1.404e-11, 
1.264e-11,1.264e-11, 
1.579e-11,1.579e-11, 
1.041e-11,1.041e-11, 
1.399e-11,1.399e-11, 
2.123e-11,2.123e-11, 
2.044e-11,2.044e-11, 
1.855e-11,1.855e-11, 
2.109e-11,2.109e-11, 
1.856e-11,1.856e-11, 
2.006e-11,2.006e-11, 
1.979e-11,1.979e-11, 
1.494e-11,1.494e-11, 
1.772e-11,1.772e-11, 
2.509e-11,2.509e-11, 
2.017e-11,2.017e-11, 
2.112e-11,2.112e-11, 
1.661e-11,1.661e-11, 
1.458e-11,1.458e-11, 
2.767e-11,2.767e-11, 
1.879e-11,1.879e-11, 
2.1e-11,2.1e-11, 
1.057e-11,1.057e-11, 
2.34e-11,2.34e-11, 
1.988e-11,1.988e-11, 
1.22e-11,1.22e-11, 
2.36e-11,2.36e-11, 
2.18e-11,2.18e-11, 
2.199e-11,2.199e-11, 
2.402e-11,2.402e-11, 
3.26e-11,3.26e-11, 
7.816e-12,7.816e-12, 
1.912e-11,1.912e-11, 
1.406e-11,1.406e-11, 
2.501e-11,2.501e-11, 
2.582e-11,2.582e-11, 
9.84e-12,9.84e-12, 
1.713e-11,1.713e-11, 
1.021e-11,1.021e-11, 
2.375e-11,2.375e-11, 
1.81e-11,1.81e-11, 
2.345e-11,2.345e-11, 
2.65e-11,2.65e-11, 
2.268e-11,2.268e-11, 
4.14e-11,4.14e-11, 
1.902e-11,1.902e-11, 
1.694e-11,1.694e-11, 
1.877e-11,1.877e-11, 
2.066e-11,2.066e-11, 
2.129e-11,2.129e-11, 
1.363e-11,1.363e-11, 
1.842e-11,1.842e-11, 
2.566e-11,2.566e-11, 
1.525e-11,1.525e-11, 
2.433e-11,2.433e-11, 
1.777e-11,1.777e-11, 
1.757e-11,1.757e-11, 
2.668e-11,2.668e-11, 
2.504e-11,2.504e-11, 
8.675e-12,8.675e-12, 
1.964e-11,1.964e-11, 
1.605e-11,1.605e-11, 
2.429e-11,2.429e-11, 
2.548e-11,2.548e-11, 
1.912e-11,1.912e-11, 
2.712e-11,2.712e-11, 
8.607e-12,8.607e-12, 
3.283e-11,3.283e-11, 
2.268e-11,2.268e-11, 
2.444e-11,2.444e-11, 
2.099e-11,2.099e-11, 
2.428e-11,2.428e-11, 
2.25e-11,2.25e-11, 
2.102e-11,2.102e-11, 
1.053e-11,1.053e-11, 
2.071e-11,2.071e-11, 
1.961e-11,1.961e-11, 
1.301e-11,1.301e-11, 
1.756e-11,1.756e-11, 
2.365e-11,2.365e-11, 
2.501e-11,2.501e-11, 
1.81e-11,1.81e-11, 
2.598e-11,2.598e-11, 
1.725e-11,1.725e-11, 
2.96e-11,2.96e-11, 
1.652e-11,1.652e-11, 
2.684e-11,2.684e-11, 
2.073e-11,2.073e-11, 
2.567e-11,2.567e-11, 
2.047e-11,2.047e-11, 
2.867e-11,2.867e-11, 
1.544e-11,1.544e-11, 
1.472e-11,1.472e-11, 
1.244e-11,1.244e-11, 
2.274e-11,2.274e-11, 
2.201e-11,2.201e-11, 
2.085e-11,2.085e-11, 
2.407e-11,2.407e-11, 
2.884e-11,2.884e-11, 
2.099e-11,2.099e-11, 
2.098e-11,2.098e-11, 
2.629e-11,2.629e-11, 
1.341e-11,1.341e-11, 
2.683e-11,2.683e-11, 
1.656e-11,1.656e-11, 
3.202e-11,3.202e-11, 
1.245e-11,1.245e-11, 
